,country,subnational1,subnational2,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
0,Bolivia,Chuquisaca,Belisario Boeto,0,173421,12852647,74,,,,,,,,,,,,,,,,,,,,,,,
1,Bolivia,Chuquisaca,Belisario Boeto,10,95357,12652126,133,,,,,,,,,,,,,,,,,,,,,,,
2,Bolivia,Chuquisaca,Belisario Boeto,15,91290,12300465,135,,,,,,,,,,,,,,,,,,,,,,,
3,Bolivia,Chuquisaca,Belisario Boeto,20,88728,12069454,136,,,,,,,,,,,,,,,,,,,,,,,
4,Bolivia,Chuquisaca,Belisario Boeto,25,86377,11860378,137,,,,,,,,,,,,,,,,,,,,,,,
5,Bolivia,Chuquisaca,Belisario Boeto,30,83969,11629484,138,57966.0,308868.0,-250902.0,135924.0,46489.0,21277.0,17520.0,43110.0,12727.0,5855.0,86744.0,111768.0,3515.0,66943.0,13425.0,63112.0,62940.0,20003.0,66450.0,115865.0,26331.0,130697.0,108628.0
6,Bolivia,Chuquisaca,Belisario Boeto,50,69610,10243258,147,55262.0,253169.0,-197907.0,130098.0,43750.0,20640.0,17190.0,42025.0,12417.0,5681.0,84293.0,109846.0,3442.0,63492.0,13004.0,60676.0,60093.0,19698.0,63145.0,109487.0,24021.0,119660.0,102580.0
7,Bolivia,Chuquisaca,Belisario Boeto,75,48720,7790621,160,46620.0,173188.0,-126568.0,119819.0,37226.0,19212.0,16585.0,38953.0,11341.0,5297.0,74148.0,103536.0,2977.0,55748.0,11641.0,49565.0,48829.0,18177.0,47411.0,89578.0,18005.0,86841.0,77510.0
8,Bolivia,Chuquisaca,Hernando Siles,0,631596,84049906,133,,,,,,,,,,,,,,,,,,,,,,,
9,Bolivia,Chuquisaca,Hernando Siles,10,559456,83731125,150,,,,,,,,,,,,,,,,,,,,,,,
10,Bolivia,Chuquisaca,Hernando Siles,15,554490,83327946,150,,,,,,,,,,,,,,,,,,,,,,,
11,Bolivia,Chuquisaca,Hernando Siles,20,549841,82940620,151,,,,,,,,,,,,,,,,,,,,,,,
12,Bolivia,Chuquisaca,Hernando Siles,25,546958,82697108,151,,,,,,,,,,,,,,,,,,,,,,,
13,Bolivia,Chuquisaca,Hernando Siles,30,542754,82338700,152,488260.0,1217363.0,-729103.0,576298.0,520886.0,508355.0,317835.0,553841.0,137430.0,143000.0,441112.0,298927.0,61011.0,1722117.0,318739.0,407741.0,344231.0,103686.0,561109.0,743766.0,269745.0,972423.0,762943.0
14,Bolivia,Chuquisaca,Hernando Siles,50,505760,78971931,156,468206.0,1076525.0,-608319.0,571704.0,513247.0,504725.0,315730.0,548113.0,136740.0,141939.0,437237.0,296692.0,60020.0,1705578.0,311432.0,386679.0,325356.0,94389.0,498556.0,672927.0,236606.0,912549.0,693903.0
15,Bolivia,Chuquisaca,Hernando Siles,75,400851,66598832,166,398731.0,733249.0,-334517.0,550277.0,484972.0,484612.0,303358.0,520030.0,132321.0,137640.0,412466.0,287608.0,56017.0,1624428.0,280268.0,288848.0,238413.0,68771.0,318759.0,465549.0,153996.0,698928.0,467368.0
16,Bolivia,Chuquisaca,Jaime Zudáñez,0,410391,7861580,19,,,,,,,,,,,,,,,,,,,,,,,
17,Bolivia,Chuquisaca,Jaime Zudáñez,10,68413,7130905,104,,,,,,,,,,,,,,,,,,,,,,,
18,Bolivia,Chuquisaca,Jaime Zudáñez,15,60092,6393362,106,,,,,,,,,,,,,,,,,,,,,,,
19,Bolivia,Chuquisaca,Jaime Zudáñez,20,55022,5935072,108,,,,,,,,,,,,,,,,,,,,,,,
